Altium Designer Pick and Place Locations
D:\GitHub\USB2.0_HUB\USB_2.0_HUB\Project Outputs for USB_2.0_HUB\Pick Place\Pick Place for USB2.0_HUB.csv

========================================================================================================================
File Design Information:

Date:       24/04/26
Time:       15:21
Revision:   39c116426ac17d2d7c93367b2057242e95d7c80b
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","USB 2.0 Type-A FM R/A","TopLayer","Femalem_USB_2.0_Type-A_4POS_SMD_R/A","284.999","706.851","270","USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle"
"FB3","120O@100MHz","BottomLayer","FB_0805","655.000","900.000","180","FERRITE BEAD 120O 0805 1LN"
"C38","4n7","BottomLayer","CAP_0603","145.512","700.000","180","4.7nF ±5% 50V Ceramic Capacitor X7R 0603"
"C31","2u2","BottomLayer","CAP_0603","654.488","980.000","0","CAP CER 2.2uF 16V X7R 0603"
"D10","LED_RED","TopLayer","LED_0805","2130.000","1320.000","90","LED RED WATER CLEAR 0805 SMD"
"C46","4n7","BottomLayer","CAP_0603","3344.488","1760.000","0","4.7nF ±5% 50V Ceramic Capacitor X7R 0603"
"C45","4n7","TopLayer","CAP_0603","1670.000","140.512","270","4.7nF ±5% 50V Ceramic Capacitor X7R 0603"
"C35","4n7","TopLayer","CAP_0603","1145.512","1865.000","0","4.7nF ±5% 50V Ceramic Capacitor X7R 0603"
"C33","4n7","TopLayer","CAP_0603","319.488","1775.000","0","4.7nF ±5% 50V Ceramic Capacitor X7R 0603"
"D7","LED_GREEN","TopLayer","LED_0805","2275.000","205.000","270","Green 535nm LED Indication - Discrete 2.6V~3.2V 0805"
"J9","CONN 4P","BottomLayer","JST_4P_GH_R/A","2518.351","1802.992","0","Connector Header 4 position 1.25mm Pitch 1A Surface Mount, Right Angle -25?~+85?"
"J8","CONN 4P","BottomLayer","JST_4P_GH_R/A","2166.799","1804.503","0","Connector Header 4 position 1.25mm Pitch 1A Surface Mount, Right Angle -25?~+85?"
"J7","CONN 4P","BottomLayer","JST_4P_GH_R/A","1807.407","1806.179","0","Connector Header 4 position 1.25mm Pitch 1A Surface Mount, Right Angle -25?~+85?"
"R50","100k","BottomLayer","RES_0603","1650.000","1385.000","90","RES 100kO ±5% 100mW 0603"
"R49","100k","BottomLayer","RES_0603","1245.000","1385.000","90","RES 100kO ±5% 100mW 0603"
"R48","100k","BottomLayer","RES_0603","1510.000","1385.000","90","RES 100kO ±5% 100mW 0603"
"R47","100k","BottomLayer","RES_0603","1580.000","1385.000","90","RES 100kO ±5% 100mW 0603"
"R45","4k7","TopLayer","RES_0603","2585.000","1275.000","180","100mW 4.7kO 75V Thick Film Resistor ±100ppm/? ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R43","4k7","TopLayer","RES_0603","925.000","905.000","180","100mW 4.7kO 75V Thick Film Resistor ±100ppm/? ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R46","4k7","TopLayer","RES_0603","3135.000","1780.000","180","100mW 4.7kO 75V Thick Film Resistor ±100ppm/? ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R44","4k7","TopLayer","RES_0603","2355.000","205.000","90","100mW 4.7kO 75V Thick Film Resistor ±100ppm/? ±5% 0603 Chip Resistor - Surface Mount RoHS"
"D8","LED_GREEN","TopLayer","LED_0805","2725.000","1275.000","180","Green 535nm LED Indication - Discrete 2.6V~3.2V 0805"
"D6","LED_GREEN","TopLayer","LED_0805","925.000","985.000","0","Green 535nm LED Indication - Discrete 2.6V~3.2V 0805"
"D9","LED_GREEN","TopLayer","LED_0805","3130.000","1860.000","0","Green 535nm LED Indication - Discrete 2.6V~3.2V 0805"
"SW2","PB","TopLayer","ALPSALPINE_SKRPABE010","3140.000","345.000","180","Tactile Switch SPST 2.5mm 4.2mm x 3.2mm Surface Mount"
"SW1","PB","TopLayer","ALPSALPINE_SKRPABE010","2205.000","975.000","90","Tactile Switch SPST 2.5mm 4.2mm x 3.2mm Surface Mount"
"M5","MH","TopLayer","M2_MOUNTING_HOLE","118.504","1855.158","0",""
"M3","MH","TopLayer","M2_MOUNTING_HOLE","3500.000","275.984","0",""
"M1","MH","TopLayer","M2_MOUNTING_HOLE","118.504","275.984","0",""
"M4","MH","TopLayer","M2_MOUNTING_HOLE","3500.000","1855.158","0",""
"M2","MH","TopLayer","M2_MOUNTING_HOLE","1408.583","120.157","0",""
"R42","56k","BottomLayer","RES_0603","1871.063","185.000","180","100mW 56kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R41","56k","BottomLayer","RES_0603","2038.937","185.000","0","100mW 56kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R19","0","BottomLayer","RES_0603","2990.000","395.000","0","100mW 0O 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R18","10k","BottomLayer","RES_0603","2988.937","600.000","180","100mW 10kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"Q4","S8050","BottomLayer","S8050_SOT-23","2999.936","500.000","270","Bipolar (BJT) Transistor 25V 500mA 150MHz 300mW Surface Mount SOT-23"
"X1","24Mhz","TopLayer","SMD3225-4P","1482.248","788.351","135","Crystal 24MHz ±10ppm 9pF 30O SMD3225-4P"
"U10","SPX3819M5-L-3-3/TR","BottomLayer","SPX3819M5-L-3-3/TR_SOT-23-5","2537.205","836.041","180","3.3V 16V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS"
"U7","USB2514B-AEZC-TR","TopLayer","USB2514B_VQFN-36-EP(6x6)","1749.796","1037.790","135","4 480Mbps Hub USB 2.0 VQFN-36-EP(6x6) Interface Controllers RoHS"
"U6","MIC2099-1YMT-TR","BottomLayer","MIC2099_UDFN-6","1427.504","1724.530","180","UDFN-6 Power Distribution Switches, Load Drivers RoHS"
"U5","MIC2099-1YMT-TR","BottomLayer","MIC2099_UDFN-6","2306.299","1440.217","180","UDFN-6 Power Distribution Switches, Load Drivers RoHS"
"U4","SWITCH TACTILE SPST SMD","TopLayer","XCVR_ESP32-S3-WROOM-1U","2880.512","825.394","0","2.4 GHz Wi-Fi (802.11 b/g/n) and Bluetooth 5 (LE) module"
"U3","SPX3819M5-L-3-3/TR","BottomLayer","SPX3819M5-L-3-3/TR_SOT-23-5","993.316","1331.952","270","3.3V 16V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS"
"U2","MIC2099-1YMT-TR","BottomLayer","MIC2099_UDFN-6","2029.685","585.217","180","UDFN-6 Power Distribution Switches, Load Drivers RoHS"
"U1","MIC2099-1YMT-TR","BottomLayer","MIC2099_UDFN-6","814.783","670.315","270","UDFN-6 Power Distribution Switches, Load Drivers RoHS"
"R36","100k","BottomLayer","RES_0603","2666.614","682.104","270","RES 100kO ±5% 100mW 0603"
"R34","100k","BottomLayer","RES_0603","2741.614","681.041","90","RES 100kO ±5% 100mW 0603"
"R31","0","BottomLayer","RES_0603","2755.000","1060.000","270","100mW 0O 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R29","0","BottomLayer","RES_0603","2836.614","1061.041","90","100mW 0O 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R26","100k","TopLayer","RES_0603","1385.000","1385.000","270","RES 100kO ±5% 100mW 0603"
"R25","100k","TopLayer","RES_0603","1315.000","1385.000","90","RES 100kO ±5% 100mW 0603"
"R24","12k","TopLayer","RES_0603","1680.461","779.538","315","RES 12kO ±1% 100mW 0603"
"R23","100k","TopLayer","RES_0603","1650.000","1386.063","270","RES 100kO ±5% 100mW 0603"
"R22","100k","TopLayer","RES_0603","1245.000","1385.000","270","RES 100kO ±5% 100mW 0603"
"R21","100k","TopLayer","RES_0603","1510.000","1386.063","270","RES 100kO ±5% 100mW 0603"
"R20","100k","TopLayer","RES_0603","1580.000","1386.063","270","RES 100kO ±5% 100mW 0603"
"R17","12k","BottomLayer","RES_0603","836.063","1510.000","0","RES 12kO ±1% 100mW 0603"
"R16","10k","BottomLayer","RES_0603","3193.937","395.000","0","100mW 10kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R15","12k","BottomLayer","RES_0603","835.000","1580.000","180","RES 12kO ±1% 100mW 0603"
"R14","0","BottomLayer","RES_0603","3196.063","605.000","180","100mW 0O 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R13","330R","BottomLayer","RES_0603","1465.000","1615.000","180","RES 330O ±5% 100mW 0603"
"R12","330R","BottomLayer","RES_0603","2271.614","1350.000","0","RES 330O ±5% 100mW 0603"
"R11","12k","BottomLayer","RES_0603","1345.000","1655.000","270","RES 12kO ±1% 100mW 0603"
"R10","12k","BottomLayer","RES_0603","2225.000","1455.000","90","RES 12kO ±1% 100mW 0603"
"R9","10k","TopLayer","RES_0603","3315.000","450.000","270","100mW 10kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R8","330R","BottomLayer","RES_0603","1998.937","490.000","0","RES 330O ±5% 100mW 0603"
"R7","12k","BottomLayer","RES_0603","595.000","1100.000","0","RES 12kO ±1% 100mW 0603"
"R6","330R","BottomLayer","RES_0603","950.000","670.000","180","RES 330O ±5% 100mW 0603"
"R5","1k","TopLayer","RES_0603","2160.000","1415.000","0","100mW 1kO 75V Thick Film Resistor ±100ppm/? ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R4","12k","BottomLayer","RES_0603","1885.000","520.000","270","RES 12kO ±1% 100mW 0603"
"R3","10k","TopLayer","RES_0603","2330.000","1090.000","90","100mW 10kO 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R2","12k","BottomLayer","RES_0603","815.000","590.000","180","RES 12kO ±1% 100mW 0603"
"R1","12k","BottomLayer","RES_0603","595.000","1170.000","180","RES 12kO ±1% 100mW 0603"
"Q3","S8050","BottomLayer","S8050_SOT-23","3195.064","500.000","90","Bipolar (BJT) Transistor 25V 500mA 150MHz 300mW Surface Mount SOT-23"
"Q2","AO4407A","BottomLayer","AO4407A_SOIC-8","730.000","1745.000","180","P-Channel 30V 12A 3.1W Surface Mount SOIC-8"
"Q1","AO4407A","BottomLayer","AO4407A_SOIC-8","545.000","1315.000","180","P-Channel 30V 12A 3.1W Surface Mount SOIC-8"
"J6","USB 2.0 Type-A FM R/A","BottomLayer","FEMALEM_USB_2.0_TYPE-A_4POS_SMD_R/A","3353.031","1384.370","270","USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle"
"J5","USB 2.0 Type-C 16POS SMD R/A","TopLayer","GT-USB-7010B","1949.922","203.032","0","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle"
"J3","USB 2.0 Type-A M R/A","TopLayer","MALE_USB_2.0_TYPE-A_4POS_SMD_R/A","888.580","2055.711","180","USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle"
"J2","CONN 6P","BottomLayer","JST_6P_GH_W/A","3488.857","695.004","270","Connector Header 6 position 1.25mm Pitch 1A Surface Mount, Right Angle -25?~+85?"
"J1","USB 2.0 Type-C 16POS SMD R/A","BottomLayer","GT-USB-7010B","269.599","1519.171","90","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle"
"FB4","120O@100MHz","BottomLayer","FB_0805","2280.000","430.000","0","FERRITE BEAD 120O 0805 1LN"
"FB2","120O@100MHz","BottomLayer","FB_0805","2780.000","1610.000","0","FERRITE BEAD 120O 0805 1LN"
"FB1","120O@100MHz","BottomLayer","FB_0805","987.598","1810.000","0","FERRITE BEAD 120O 0805 1LN"
"D5","USBLC6-2SC6","TopLayer","USBLC6-2SC6_SOT-23-6L","660.000","405.000","90","17VC Clamp 5A Ipp ESD DIODE SOT-23-6L"
"D4","USBLC6-2SC6","TopLayer","USBLC6-2SC6_SOT-23-6L","1945.000","435.000","270","17VC Clamp 5A Ipp ESD DIODE SOT-23-6L"
"D3","USBLC6-2SC6","TopLayer","USBLC6-2SC6_SOT-23-6L","2375.000","675.000","270","17VC Clamp 5A Ipp ESD DIODE SOT-23-6L"
"D2","USBLC6-2SC6","BottomLayer","USBLC6-2SC6_SOT-23-6L","2890.000","1385.000","0","17VC Clamp 5A Ipp ESD DIODE SOT-23-6L"
"D1","USBLC6-2SC6","TopLayer","USBLC6-2SC6_SOT-23-6L","885.000","1740.000","180","17VC Clamp 5A Ipp ESD DIODE SOT-23-6L"
"C44","2u2","BottomLayer","CAP_0603","2175.000","409.488","90","CAP CER 2.2uF 16V X7R 0603"
"C43","100u","BottomLayer","CAP_SMD","2320.000","210.000","270","100uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105?"
"C40","100n","BottomLayer","CAP_0603","2520.512","730.000","180","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C37","2u2","BottomLayer","CAP_0603","2425.000","829.488","90","2.2uF ±10% 16V Ceramic Capacitor X7R 0603"
"C36","2u2","BottomLayer","CAP_0603","2596.102","951.041","0","2.2uF ±10% 16V Ceramic Capacitor X7R 0603"
"C34","2u2","BottomLayer","CAP_0603","2745.000","1720.512","270","CAP CER 2.2uF 16V X7R 0603"
"C32","100u","BottomLayer","CAP_SMD","2921.683","1747.319","90","100uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105?"
"C29","100n","BottomLayer","CAP_0603","1813.682","1130.306","45","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C28","100n","BottomLayer","CAP_0603","1620.619","1074.093","135","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C27","100n","BottomLayer","CAP_0603","1827.469","957.243","315","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C26","100n","BottomLayer","CAP_0603","1883.682","1060.306","45","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C25","100n","BottomLayer","CAP_0603","1670.619","1124.093","135","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C24","100n","BottomLayer","CAP_0603","1650.619","967.243","225","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C23","2u2","BottomLayer","CAP_0603","1740.619","902.243","225","CAP CER 2.2uF 16V X7R 0603"
"C22","100n","TopLayer","CAP_0603","1933.425","1261.575","315","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C21","10n","TopLayer","CAP_0603","1983.425","1311.575","315","10nF ±10% 50V Ceramic Capacitor X7R 0603"
"C20","100n","BottomLayer","CAP_0603","1558.425","833.425","45","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C19","10n","BottomLayer","CAP_0603","1609.638","784.638","45","10nF ±10% 50V Ceramic Capacitor X7R 0603"
"C18","10p","TopLayer","CAP_0603","1584.638","694.638","45","10pF ±1% 50V Ceramic Capacitor NP0 0603"
"C17","10p","TopLayer","CAP_0603","1390.362","875.362","225","10pF ±1% 50V Ceramic Capacitor NP0 0603"
"C16","2u2","BottomLayer","CAP_0603","1025.000","1705.512","90","CAP CER 2.2uF 16V X7R 0603"
"C15","2u2","BottomLayer","CAP_0603","950.000","1704.488","90","CAP CER 2.2uF 16V X7R 0603"
"C14","2u2","BottomLayer","CAP_0603","1520.000","1725.512","270","CAP CER 2.2uF 16V X7R 0603"
"C13","2u2","BottomLayer","CAP_0603","2391.614","1445.512","270","CAP CER 2.2uF 16V X7R 0603"
"C12","2u2","BottomLayer","CAP_0603","1414.488","1815.000","0","CAP CER 2.2uF 16V X7R 0603"
"C11","2u2","BottomLayer","CAP_0603","2329.488","1540.000","0","CAP CER 2.2uF 16V X7R 0603"
